,Year,Quarter,StateName,RegisteredUsers,AppOpens
480,2021,2,himachal pradesh,1743151,43269977
481,2021,2,jammu & kashmir,1261267,34274559
482,2021,2,jharkhand,5701503,184234107
483,2021,2,karnataka,25751023,1051089714
484,2021,2,kerala,7416083,87814415
485,2021,2,ladakh,75048,4391632
486,2021,2,lakshadweep,4896,40301
487,2021,2,madhya pradesh,15940935,727741649
488,2021,2,maharashtra,39664697,1208083592
489,2021,2,manipur,335409,7269002
490,2021,2,meghalaya,205686,7290804
491,2021,2,mizoram,92552,4014597
492,2021,2,nagaland,223337,6716892
493,2021,2,odisha,9891029,367576494
494,2021,2,puducherry,369961,5178916
495,2021,2,punjab,5976548,85894089
496,2021,2,rajasthan,18980985,1072091232
497,2021,2,sikkim,171740,4541121
498,2021,2,tamil nadu,17804542,343968474
499,2021,2,telangana,18306880,905317692
500,2021,2,tripura,472153,9500881
501,2021,2,uttar pradesh,31651894,673598864
502,2021,2,uttarakhand,3004040,78380036
503,2021,2,west bengal,17979979,275341466
504,2021,3,andaman & nicobar islands,66982,3121625
505,2021,3,andhra pradesh,21059898,1258536879
506,2021,3,arunachal pradesh,293073,17209654
507,2021,3,assam,3918480,135288631
508,2021,3,bihar,16160771,421801379
509,2021,3,chandigarh,480463,6378807
510,2021,3,chhattisgarh,5206084,276486076
511,2021,3,dadra & nagar haveli & daman & diu,371874,7162734
512,2021,3,delhi,11980061,223844376
513,2021,3,goa,653458,16575111
514,2021,3,gujarat,16946761,379987151
515,2021,3,haryana,11325336,296884105
516,2021,3,himachal pradesh,1880626,52970288
517,2021,3,jammu & kashmir,1359860,45025197
518,2021,3,jharkhand,6151843,230475998
519,2021,3,karnataka,27614221,1366781087
520,2021,3,kerala,7949425,116282717
521,2021,3,ladakh,81210,7099550
522,2021,3,lakshadweep,5287,49127
523,2021,3,madhya pradesh,17210233,929572924
524,2021,3,maharashtra,42581217,1565370852
525,2021,3,manipur,361749,9743772
526,2021,3,meghalaya,223065,9952956
527,2021,3,mizoram,100647,5385718
528,2021,3,nagaland,241797,8661991
529,2021,3,odisha,10652490,492879704
530,2021,3,puducherry,396609,6899592
531,2021,3,punjab,6434862,107614155
532,2021,3,rajasthan,20499465,1429553825
533,2021,3,sikkim,184693,5714565
534,2021,3,tamil nadu,19127440,459826734
535,2021,3,telangana,19615278,1107529197
536,2021,3,tripura,509929,12279146
537,2021,3,uttar pradesh,34151882,803890116
538,2021,3,uttarakhand,3233509,90886530
539,2021,3,west bengal,19323278,348588666
540,2021,4,andaman & nicobar islands,71780,2112910
541,2021,4,andhra pradesh,22489029,1447717601
542,2021,4,arunachal pradesh,314944,11230295
543,2021,4,assam,4209591,130600435
544,2021,4,bihar,17335981,647400838
545,2021,4,chandigarh,512092,11603954
546,2021,4,chhattisgarh,5565481,251752583
547,2021,4,dadra & nagar haveli & daman & diu,398963,15009455
548,2021,4,delhi,12785127,345669353
549,2021,4,goa,697178,28288254
550,2021,4,gujarat,18139201,487846209
551,2021,4,haryana,12116439,442176987
552,2021,4,himachal pradesh,2013747,47670982
553,2021,4,jammu & kashmir,1456810,36012148
554,2021,4,jharkhand,6596196,284960009
555,2021,4,karnataka,29459646,1941558513
556,2021,4,kerala,8473810,213542857
557,2021,4,ladakh,87057,2665203
558,2021,4,lakshadweep,5638,67320
559,2021,4,madhya pradesh,18456243,956630781
560,2021,4,maharashtra,45482506,2031739248
561,2021,4,manipur,387746,7603294
562,2021,4,meghalaya,240268,6048594
563,2021,4,mizoram,108405,2094118
564,2021,4,nagaland,259990,6383337
565,2021,4,odisha,11399235,567351446
566,2021,4,puducherry,423167,14257568
567,2021,4,punjab,6880103,138427499
568,2021,4,rajasthan,21977202,1185124031
569,2021,4,sikkim,197407,5525552
570,2021,4,tamil nadu,20433142,685861440
571,2021,4,telangana,20917649,1407599392
572,2021,4,tripura,546292,10728702
573,2021,4,uttar pradesh,36617655,1175923794
574,2021,4,uttarakhand,3460015,110928354
575,2021,4,west bengal,20644527,512335839
576,2022,1,andaman & nicobar islands,76288,3847407
577,2022,1,andhra pradesh,23857951,1254785973
578,2022,1,arunachal pradesh,335339,41418559
579,2022,1,assam,4492589,281642453
580,2022,1,bihar,18484658,316991599
581,2022,1,chandigarh,541549,2321685
582,2022,1,chhattisgarh,5916961,448503438
583,2022,1,dadra & nagar haveli & daman & diu,424570,3910792
584,2022,1,delhi,13539197,57524153
585,2022,1,goa,738628,18678798
586,2022,1,gujarat,19265314,521776939
587,2022,1,haryana,12866988,217228467
588,2022,1,himachal pradesh,2143483,77278278
589,2022,1,jammu & kashmir,1549320,62115857
590,2022,1,jharkhand,7025275,331355981
591,2022,1,karnataka,31200349,1727054045
592,2022,1,kerala,8972299,94047893
593,2022,1,ladakh,92492,8902080
594,2022,1,lakshadweep,5990,45410
595,2022,1,madhya pradesh,19656147,1678266475
596,2022,1,maharashtra,48227630,2157769514
597,2022,1,manipur,411900,22637747
598,2022,1,meghalaya,255839,23634106
599,2022,1,mizoram,115295,14886657
600,2022,1,nagaland,276483,24206053
601,2022,1,odisha,12124779,613855465
602,2022,1,puducherry,448051,3938657
603,2022,1,punjab,7302726,117482807
604,2022,1,rajasthan,23398857,2570606469
605,2022,1,sikkim,209616,12440193
606,2022,1,tamil nadu,21667020,638490275
607,2022,1,telangana,22150612,1168864524
608,2022,1,tripura,582124,19322963
609,2022,1,uttar pradesh,38999692,836926025
610,2022,1,uttarakhand,3674829,115224382
611,2022,1,west bengal,21919787,236131065
612,2022,2,andaman & nicobar islands,80530,5180013
613,2022,2,andhra pradesh,25157264,1378736856
614,2022,2,arunachal pradesh,354528,49889518
615,2022,2,assam,4755787,339929089
616,2022,2,bihar,19569894,348588438
617,2022,2,chandigarh,569582,2285979
618,2022,2,chhattisgarh,6238349,501411120
619,2022,2,dadra & nagar haveli & daman & diu,449016,3886292
620,2022,2,delhi,14260143,52553080
621,2022,2,goa,777779,19062157
622,2022,2,gujarat,20321596,609943436
623,2022,2,haryana,13576065,236091309
624,2022,2,himachal pradesh,2264407,102488683
625,2022,2,jammu & kashmir,1635570,89986310
626,2022,2,jharkhand,7426174,379053485
627,2022,2,karnataka,32831447,2065359837
628,2022,2,kerala,9442533,98876392
629,2022,2,ladakh,97517,14768129
630,2022,2,lakshadweep,6327,38450
631,2022,2,madhya pradesh,20766417,1902866132
632,2022,2,maharashtra,50802786,2492946019
633,2022,2,manipur,434563,26236900
634,2022,2,meghalaya,269943,27458992
635,2022,2,mizoram,121535,16646550
636,2022,2,nagaland,292104,28652431
637,2022,2,odisha,12801990,670311093
638,2022,2,puducherry,471663,3830290
639,2022,2,punjab,7702100,138965337
640,2022,2,rajasthan,24716181,2771434947
641,2022,2,sikkim,220994,16993937
642,2022,2,tamil nadu,22829720,740265406
643,2022,2,telangana,23314363,1276259370
644,2022,2,tripura,615782,21343111
645,2022,2,uttar pradesh,41247289,947480495
646,2022,2,uttarakhand,3877056,156465685
647,2022,2,west bengal,23124388,250276369
648,2022,3,andaman & nicobar islands,84642,6068354
649,2022,3,andhra pradesh,26496330,1357005703
650,2022,3,arunachal pradesh,373372,59722628
651,2022,3,assam,5016910,410760707
652,2022,3,bihar,20694376,336807385
653,2022,3,chandigarh,598698,2173356
654,2022,3,chhattisgarh,6562237,543206487
655,2022,3,dadra & nagar haveli & daman & diu,474807,3837881
656,2022,3,delhi,15009523,49919498
657,2022,3,goa,817830,19712764
658,2022,3,gujarat,21394721,699121904
659,2022,3,haryana,14303933,265475161
660,2022,3,himachal pradesh,2381576,108832538
661,2022,3,jammu & kashmir,1719185,109346235
662,2022,3,jharkhand,7836429,414228860
663,2022,3,karnataka,34493994,2148016434
664,2022,3,kerala,9933977,104565833
665,2022,3,ladakh,102299,19734781
666,2022,3,lakshadweep,6645,18111
667,2022,3,madhya pradesh,21884220,2026371749
668,2022,3,maharashtra,53432602,2638663712
669,2022,3,manipur,457063,26011343
670,2022,3,meghalaya,283487,32596135
671,2022,3,mizoram,127735,15557163
672,2022,3,nagaland,307386,31229366
673,2022,3,odisha,13493282,725475924
674,2022,3,puducherry,496570,4186911
675,2022,3,punjab,8097582,154625731
676,2022,3,rajasthan,26042948,3299787866
677,2022,3,sikkim,232025,18748536
678,2022,3,tamil nadu,24019964,866738343
679,2022,3,telangana,24506111,1255597644
680,2022,3,tripura,649143,24123569
681,2022,3,uttar pradesh,43537920,1035702397
682,2022,3,uttarakhand,4081976,152803850
